192.168.29.17	AP_ALURACK_MLB_PLANTA_06
192.168.17.26	AP_MATECSA_MOSQUERA_OFICINAS_01
192.168.17.27	AP_MATECSA_MOSQUERA_OFICINAS_02
192.168.17.30	AP_MATECSA_MOSQUERA_OFICINAS_03
192.168.17.21	AP_MATECSA_MOSQUERA_PLANTA_01
192.168.17.23	AP_MATECSA_MOSQUERA_PLANTA_02
192.168.17.22	AP_MATECSA_MOSQUERA_PLANTA_03
192.168.17.24	AP_MATECSA_MOSQUERA_PLANTA_04
172.16.38.32	AP_MATECSA_YUMBO_PLANTA_01
172.16.38.33	AP_MATECSA_YUMBO_PLANTA_02
192.168.5.201	AP_COMEDOR
192.168.5.202	AP_PRIMERO_SEGUNDO
192.168.5.203	AP_BIBLIOTECA
192.168.5.204	AP_PREESCOLAR
192.168.5.205	AP_QUINTO
192.168.5.206	AP_SALON_DANZA
